N.;Prioridad;Fecha;Ensayo;Estatus
148;red;2017-04-26;IT-515;pipeta_estrella
149;red;2017-04-26;IT-515;pipeta_estrella
150;red;2017-05-08;IT-532;pipeta_estrella
151;red;2017-05-08;IT-532;pipeta_estrella
152;red;2017-05-08;IT-532;pipeta_estrella
153;red;2017-05-08;IT-532;pipeta_estrella
154;red;2017-06-07;IT-532;pipeta_estrella
155;red;2017-06-13;IT-532;pipeta_check
156;red;2017-06-13;IT-532;pipeta_check
157;red;2017-06-13;IT-532;pipeta_check
158;red;2017-06-13;IT-532;pipeta_check
159;red;2017-06-13;IT-532;pipeta_check
160;red;2017-06-13;IT-532;pipeta_check
161;red;2017-06-13;IT-532;pipeta_check
162;red;2017-06-13;IT-532;pipeta_check
163;red;2017-06-13;IT-532;pipeta_check
164;red;2017-06-26;IT-532;pipeta_check
165;red;2017-06-26;IT-532;pipeta_check
166;red;2017-06-26;IT-532;pipeta_check
167;red;2017-06-26;IT-532;pipeta_check
168;red;2017-06-26;IT-532;pipeta_check
169;red;2017-06-26;IT-532;pipeta_check
170;red;2017-06-26;IT-532;pipeta_check
171;red;2017-06-26;IT-532;pipeta_check
172;red;2017-06-26;IT-532;pipeta_check
173;red;2017-06-26;IT-532;pipeta_check
174;red;2017-06-26;IT-532;pipeta_check
175;red;2017-06-26;IT-532;pipeta_check
176;red;2017-06-26;IT-532;pipeta_check
177;red;2017-06-26;IT-532;pipeta_check
178;red;2017-06-26;IT-532;pipeta_check
179;red;2017-06-26;IT-532;pipeta_check
180;red;2017-06-26;IT-532;pipeta_check
181;red;2017-06-26;IT-532;pipeta_check
182;red;2017-06-26;IT-532;pipeta_check
183;red;2017-06-26;IT-532;pipeta_check
184;red;2017-06-26;IT-532;pipeta_check
185;red;2017-06-27;IT-532;pipeta_check
186;red;2017-06-27;IT-532;pipeta_check
187;red;2017-06-27;IT-532;pipeta_check
188;red;2017-06-27;IT-532;pipeta_check
189;red;2017-06-27;IT-532;pipeta_check
190;red;2017-06-27;IT-532;pipeta_check
191;red;2017-06-27;IT-532;pipeta_check
192;red;2017-06-27;IT-532;pipeta_check
193;red;2017-06-28;IT-532;pipeta_estrella
194;red;2017-06-28;IT-532;pipeta_check
195;red;2017-06-28;IT-532;pipeta_check
196;red;2017-06-28;IT-532;pipeta_check
197;red;2017-06-29;IT-532;pipeta_check
198;red;2017-06-29;IT-532;pipeta_check
199;red;2017-06-29;IT-532;pipeta_check
200;red;2017-06-29;IT-532;pipeta_check
201;red;2017-06-29;IT-532;pipeta_check
202;red;2017-06-29;IT-532;pipeta_check
203;red;2017-07-03;IT-532;pipeta_check
204;red;2017-07-03;IT-532;pipeta_check
205;red;2017-07-03;IT-532;pipeta_check
206;red;2017-07-03;IT-532;pipeta_check
207;red;2017-07-03;IT-532;pipeta_check
208;red;2017-07-03;IT-532;pipeta_check
209;red;2017-07-03;IT-532;pipeta_check
210;red;2017-07-03;IT-532;pipeta_check
211;red;2017-07-03;IT-532;pipeta_check
212;red;2017-07-03;IT-532;pipeta_check
213;red;2017-07-03;IT-532;pipeta_check
214;red;2017-07-03;IT-532;pipeta_check
215;red;2017-07-03;IT-532;pipeta_check
216;red;2017-07-03;IT-532;pipeta_check
217;red;2017-07-03;IT-532;pipeta_check
218;red;2017-07-03;IT-532;pipeta_check
219;red;2017-07-03;IT-532;pipeta_check
220;red;2017-07-03;IT-532;pipeta_check
221;red;2017-07-10;IT-532;pipeta_check
222;red;2017-07-10;IT-532;pipeta_check
223;red;2017-07-10;IT-532;pipeta_check
224;red;2017-07-10;IT-532;pipeta_check
225;red;2017-07-10;IT-532;pipeta_check
226;red;2017-07-10;IT-532;pipeta_check
227;red;2017-07-11;IT-532;pipeta_check
228;red;2017-07-11;IT-532;pipeta_check
229;red;2017-07-11;IT-532;pipeta_check
230;red;2017-07-11;IT-532;pipeta_check
231;red;2017-07-11;IT-532;pipeta_check
232;red;2017-07-11;IT-532;pipeta_check
233;red;2017-07-13;IT-532;pipeta_check
234;red;2017-07-13;IT-532;pipeta_check
235;red;2017-07-13;IT-532;pipeta_check
236;red;2017-07-14;IT-532;pipeta_check
237;red;2017-07-14;IT-532;pipeta_check
238;red;2017-07-14;IT-532;pipeta_check
239;red;2017-07-14;IT-532;pipeta_check
240;red;2017-07-14;IT-532;pipeta_check
241;red;2017-07-14;IT-532;pipeta_check
242;red;2017-07-14;IT-532;pipeta_check
243;red;2017-07-14;IT-532;pipeta_check
244;red;2017-07-14;IT-532;pipeta_check
245;red;2017-07-17;IT-532;pipeta_check
246;red;2017-07-17;IT-532;pipeta_check
247;red;2017-07-17;IT-532;pipeta_check
248;red;2017-07-17;IT-532;pipeta_check
249;red;2017-07-17;IT-532;pipeta_check
250;red;2017-07-17;IT-532;pipeta_check
251;red;2017-07-17;IT-532;pipeta_check
252;red;2017-07-17;IT-532;pipeta_check
253;red;2017-07-17;IT-532;pipeta_check
254;red;2017-07-17;IT-532;pipeta_check
255;red;2017-07-17;IT-532;pipeta_check
256;red;2017-07-17;IT-532;pipeta_check
257;red;2017-07-18;IT-532;pipeta_check
258;red;2017-07-18;IT-532;pipeta_check
259;red;2017-07-18;IT-532;pipeta_check
260;red;2017-07-19;IT-532;pipeta_check
261;red;2017-07-19;IT-532;pipeta_check
262;red;2017-07-19;IT-532;pipeta_check
263;red;2017-07-19;IT-532;pipeta_check
264;red;2017-07-19;IT-532;pipeta_check
265;red;2017-07-19;IT-532;pipeta_check
266;red;2017-07-19;IT-532;pipeta_check
267;red;2017-07-19;IT-532;pipeta_check
268;red;2017-07-19;IT-532;pipeta_check
269;red;2017-07-19;IT-532;pipeta_check
270;red;2017-07-19;IT-532;pipeta_check
271;red;2017-07-19;IT-532;pipeta_check
272;red;2017-07-26;IT-532;pipeta_check
273;red;2017-07-26;IT-532;pipeta_check
274;red;2017-07-26;IT-532;pipeta_check
275;red;2017-07-26;IT-532;pipeta_check
276;red;2017-07-26;IT-532;pipeta_check
277;red;2017-07-26;IT-532;pipeta_check
278;red;2017-07-31;IT-532;pipeta_check
279;red;2017-07-31;IT-532;pipeta_check
280;red;2017-07-31;IT-532;pipeta_check
281;red;2017-07-31;IT-532;pipeta_check
282;red;2017-07-31;IT-532;pipeta_check
283;red;2017-07-31;IT-532;pipeta_check
284;red;2017-07-31;IT-532;pipeta_check
285;red;2017-07-31;IT-532;pipeta_check
286;red;2017-07-31;IT-532;pipeta_check
287;red;2017-07-31;IT-532;pipeta_check
288;red;2017-07-31;IT-532;pipeta_check
289;red;2017-07-31;IT-532;pipeta_check
290;red;2017-07-31;IT-532;pipeta_check
291;red;2017-07-31;IT-532;pipeta_check
292;red;2017-07-31;IT-532;pipeta_check
293;red;2017-09-12;IT-515;pipeta_estrella
294;red;2017-09-12;IT-515;pipeta_check
295;red;2017-09-12;IT-532;pipeta_estrella
296;red;2017-09-12;IT-532;pipeta_estrella
297;red;2017-09-12;IT-532;pipeta_estrella
298;red;2017-09-12;IT-532;pipeta_check
299;red;2017-09-12;IT-532;pipeta_check
300;red;2017-09-12;IT-532;pipeta_check
301;red;2017-09-21;IT-515;pipeta_check
302;red;2017-09-21;IT-515;pipeta_check
303;red;2017-09-21;IT-515;pipeta_check
304;red;2017-09-21;IT-515;pipeta_check
305;red;2017-09-21;IT-532;pipeta_check
306;red;2017-09-21;IT-532;pipeta_check
307;red;2017-09-21;IT-532;pipeta_check
308;red;2017-09-21;IT-532;pipeta_check
309;red;2017-09-21;IT-532;pipeta_check
310;red;2017-09-21;IT-532;pipeta_check
311;red;2017-09-21;IT-532;pipeta_check
312;red;2017-09-21;IT-532;pipeta_check
313;red;2017-09-21;IT-532;pipeta_check
314;red;2017-09-21;IT-532;pipeta_check
315;red;2017-09-21;IT-532;pipeta_check
316;red;2017-09-21;IT-532;pipeta_check
317;red;2017-09-27;IT-515;pipeta_check
318;red;2017-09-27;IT-532;pipeta_check
319;red;2017-09-27;IT-532;pipeta_check
320;red;2017-09-27;IT-532;pipeta_check
321;red;2017-10-26;IT-532;pipeta_check
322;red;2017-10-26;IT-532;pipeta_check
323;red;2017-10-26;IT-532;pipeta_check
324;red;2017-10-26;IT-532;pipeta_check
325;red;2017-10-26;IT-532;pipeta_check
326;red;2017-10-26;IT-532;pipeta_check
327;red;2017-10-26;IT-532;pipeta_estrella
328;red;2017-10-26;IT-532;pipeta_estrella
329;red;2017-10-26;IT-532;pipeta_estrella
330;red;2018-09-19;IT-532;pipeta_estrella
331;red;2018-09-19;IT-532;pipeta_estrella
332;red;2018-09-19;IT-532;pipeta_estrella
333;red;2018-09-19;IT-532;pipeta_estrella
334;red;2018-09-19;IT-532;pipeta_estrella
335;red;2018-09-19;IT-532;pipeta_estrella
336;red;2018-10-03;IT-515;pipeta_check
337;red;2018-10-03;IT-515;pipeta_check
338;red;2018-10-03;IT-532;pipeta_check
339;red;2018-10-03;IT-532;pipeta_check
340;red;2018-10-03;IT-532;pipeta_check
341;red;2018-10-03;IT-532;pipeta_check
342;red;2018-10-03;IT-532;pipeta_check
343;red;2018-10-03;IT-532;pipeta_check
344;red;2018-10-03;IT-532;pipeta_check
345;red;2018-10-03;IT-532;pipeta_check
346;red;2018-10-03;IT-532;pipeta_check
347;red;2018-10-03;IT-532;pipeta_check
348;red;2018-10-03;IT-532;pipeta_check
349;red;2018-10-03;IT-532;pipeta_check
350;red;2018-10-04;IT-515;pipeta_check
351;red;2018-10-04;IT-532;pipeta_check
352;red;2018-10-04;IT-532;pipeta_check
353;red;2018-10-04;IT-532;pipeta_check
354;red;2018-10-04;IT-532;pipeta_check
355;red;2018-10-04;IT-532;pipeta_check
356;red;2018-10-04;IT-532;pipeta_check
357;red;2018-10-05;IT-515;pipeta_check
358;red;2018-10-05;IT-515;pipeta_retirado
359;red;2018-10-05;IT-532;pipeta_check
360;red;2018-10-05;IT-532;pipeta_check
361;red;2018-10-05;IT-532;pipeta_check
362;red;2018-10-05;IT-532;pipeta_retirado
363;red;2018-10-05;IT-532;pipeta_retirado
364;red;2018-10-05;IT-532;pipeta_retirado
365;red;2018-10-05;IT-532;pipeta_check
366;red;2018-10-05;IT-532;pipeta_check
367;red;2018-10-05;IT-532;pipeta_check
368;red;2018-10-05;IT-532;pipeta_retirado
369;red;2018-10-05;IT-532;pipeta_retirado
370;red;2018-10-05;IT-532;pipeta_retirado
371;red;2018-10-08;IT-515;pipeta_check
372;red;2018-10-08;IT-515;pipeta_check
373;red;2018-10-08;IT-515;pipeta_check
374;red;2018-10-08;IT-532;pipeta_check
375;red;2018-10-08;IT-532;pipeta_check
376;red;2018-10-08;IT-532;pipeta_check
377;red;2018-10-08;IT-532;pipeta_check
378;red;2018-10-08;IT-532;pipeta_check
379;red;2018-10-08;IT-532;pipeta_check
380;red;2018-10-08;IT-532;pipeta_check
381;red;2018-10-08;IT-532;pipeta_check
382;red;2018-10-08;IT-532;pipeta_check
383;red;2018-10-08;IT-532;pipeta_check
384;red;2018-10-08;IT-532;pipeta_check
385;red;2018-10-08;IT-532;pipeta_check
386;red;2018-10-08;IT-532;pipeta_check
387;red;2018-10-08;IT-532;pipeta_check
388;red;2018-10-08;IT-532;pipeta_check
389;red;2018-10-08;IT-532;pipeta_check
390;red;2018-10-08;IT-532;pipeta_check
391;red;2018-10-08;IT-532;pipeta_check
392;red;2018-10-23;IT-532;pipeta_check
393;red;2018-10-23;IT-532;pipeta_check
394;red;2018-10-23;IT-532;pipeta_check
395;red;2018-10-23;IT-532;pipeta_check
396;red;2018-10-23;IT-532;pipeta_check
397;red;2018-10-23;IT-532;pipeta_check
398;red;2018-10-23;IT-532;pipeta_check
399;red;2018-10-23;IT-532;pipeta_check
400;red;2018-10-23;IT-532;pipeta_check
401;red;2018-10-23;IT-532;pipeta_check
402;red;2018-10-23;IT-532;pipeta_check
403;red;2018-10-23;IT-532;pipeta_check
404;red;2018-10-23;IT-655;pipeta_check
405;red;2018-10-23;IT-655;pipeta_check
406;red;2018-10-26;IT-532;pipeta_check
407;red;2018-10-26;IT-532;pipeta_check
408;red;2018-10-26;IT-532;pipeta_check
409;red;2018-10-26;IT-532;pipeta_check
410;red;2018-10-26;IT-532;pipeta_check
411;red;2018-10-26;IT-532;pipeta_check
412;red;2018-10-26;IT-532;pipeta_check
413;red;2018-10-26;IT-532;pipeta_check
414;red;2018-10-26;IT-532;pipeta_check
415;red;2018-10-26;IT-532;pipeta_check
416;red;2018-10-26;IT-532;pipeta_check
417;red;2018-10-26;IT-532;pipeta_check
418;red;2018-10-26;IT-655;pipeta_check
419;red;2018-10-26;IT-655;pipeta_check
420;red;2018-10-30;IT-532;pipeta_check
421;red;2018-10-30;IT-532;pipeta_check
422;red;2018-10-30;IT-532;pipeta_check
423;red;2018-10-30;IT-532;pipeta_check
424;red;2018-10-30;IT-532;pipeta_check
425;red;2018-10-30;IT-532;pipeta_check
426;red;2018-10-30;IT-655;pipeta_check
427;red;2018-10-31;IT-532;pipeta_retirado
428;red;2018-10-31;IT-532;pipeta_check
429;red;2018-10-31;IT-532;pipeta_check
430;red;2018-10-31;IT-532;pipeta_check
431;red;2018-10-31;IT-532;pipeta_check
432;red;2018-10-31;IT-532;pipeta_check
433;red;2018-10-31;IT-532;pipeta_check
434;red;2018-10-31;IT-532;pipeta_check
435;red;2018-10-31;IT-532;pipeta_check
436;red;2018-10-31;IT-532;pipeta_check
437;red;2018-10-31;IT-532;pipeta_check
438;red;2018-10-31;IT-532;pipeta_check
439;red;2018-10-31;IT-532;pipeta_check
440;red;2018-10-31;IT-655;pipeta_check
441;red;2018-10-31;IT-655;pipeta_check
442;red;2018-11-01;IT-532;pipeta_check
443;red;2018-11-01;IT-532;pipeta_check
444;red;2018-11-01;IT-532;pipeta_check
445;red;2018-11-01;IT-532;pipeta_check
446;red;2018-11-01;IT-532;pipeta_check
447;red;2018-11-01;IT-532;pipeta_check
448;red;2018-11-01;IT-532;pipeta_check
449;red;2018-11-01;IT-532;pipeta_check
450;red;2018-11-01;IT-532;pipeta_check
451;red;2018-11-01;IT-532;pipeta_check
452;red;2018-11-01;IT-532;pipeta_check
453;red;2018-11-01;IT-532;pipeta_check
454;red;2018-11-01;IT-655;pipeta_check
455;red;2018-11-01;IT-655;pipeta_check
456;red;2018-11-02;IT-532;pipeta_check
457;red;2018-11-02;IT-532;pipeta_check
458;red;2018-11-02;IT-532;pipeta_check
459;red;2018-11-02;IT-532;pipeta_check
460;red;2018-11-02;IT-532;pipeta_check
461;red;2018-11-02;IT-532;pipeta_check
462;red;2018-11-02;IT-655;pipeta_check
463;red;2018-11-05;IT-532;pipeta_check
464;red;2018-11-05;IT-532;pipeta_check
465;red;2018-11-05;IT-532;pipeta_check
466;red;2018-11-05;IT-532;pipeta_check
467;red;2018-11-05;IT-532;pipeta_check
468;red;2018-11-05;IT-532;pipeta_check
469;red;2018-11-05;IT-532;pipeta_check
470;red;2018-11-05;IT-532;pipeta_check
471;red;2018-11-05;IT-532;pipeta_check
472;red;2018-11-05;IT-532;pipeta_check
473;red;2018-11-05;IT-532;pipeta_check
474;red;2018-11-05;IT-532;pipeta_check
475;red;2018-11-05;IT-532;pipeta_check
476;red;2018-11-05;IT-532;pipeta_check
477;red;2018-11-05;IT-532;pipeta_check
478;red;2018-11-05;IT-532;pipeta_check
479;red;2018-11-05;IT-532;pipeta_check
480;red;2018-11-05;IT-532;pipeta_check
481;red;2018-11-05;IT-532;pipeta_check
482;red;2018-11-05;IT-532;pipeta_check
483;red;2018-11-05;IT-532;pipeta_check
484;red;2018-11-05;IT-532;pipeta_check
485;red;2018-11-05;IT-532;pipeta_check
486;red;2018-11-05;IT-532;pipeta_check
487;red;2018-11-05;IT-532;pipeta_check
488;red;2018-11-05;IT-532;pipeta_check
489;red;2018-11-05;IT-532;pipeta_check
490;red;2018-11-05;IT-532;pipeta_check
491;red;2018-11-05;IT-532;pipeta_check
492;red;2018-11-05;IT-532;pipeta_check
493;red;2018-11-05;IT-655;pipeta_check
494;red;2018-11-05;IT-655;pipeta_check
495;red;2018-11-05;IT-655;pipeta_check
496;red;2018-11-05;IT-655;pipeta_check
497;red;2018-11-05;IT-655;pipeta_check
498;yellow;2007-07-13;IT-515;pipeta_estrella
499;yellow;2007-07-16;IT-515;pipeta_estrella
500;yellow;2007-08-17;IT-515;pipeta_estrella
501;yellow;2007-07-16;IT-515;pipeta_estrella
502;yellow;2007-09-05;IT-515;pipeta_retirado
503;yellow;2007-07-13;IT-532;pipeta_estrella
504;yellow;2007-07-16;IT-532;pipeta_estrella
505;yellow;2007-07-13;IT-532;pipeta_estrella
506;yellow;2007-07-18;IT-532;pipeta_estrella
507;yellow;2007-07-18;IT-532;pipeta_estrella
508;yellow;2007-07-19;IT-532;pipeta_estrella
509;yellow;2007-07-19;IT-532;pipeta_estrella
510;yellow;2007-09-03;IT-532;pipeta_retirado
511;yellow;2007-07-13;IT-532;pipeta_estrella
512;yellow;2007-07-13;IT-532;pipeta_estrella
513;yellow;2007-08-03;IT-532;pipeta_estrella
514;yellow;2007-07-13;IT-532;pipeta_estrella
515;yellow;2007-07-16;IT-515;pipeta_estrella
516;yellow;2007-07-12;IT-515;pipeta_estrella
517;yellow;2007-07-12;IT-515;pipeta_estrella
518;yellow;2007-07-17;IT-515;pipeta_estrella
519;yellow;2007-07-13;IT-532;pipeta_estrella
520;yellow;2007-07-19;IT-532;pipeta_retirado
521;yellow;2007-07-16;IT-532;pipeta_estrella
522;yellow;2007-07-19;IT-532;pipeta_estrella
523;yellow;2007-07-16;IT-532;pipeta_estrella
524;yellow;2007-07-16;IT-532;pipeta_estrella
525;yellow;2007-07-16;IT-532;pipeta_estrella
526;yellow;2007-07-12;IT-515;pipeta_estrella
527;yellow;2007-07-12;IT-515;pipeta_estrella
528;yellow;2007-07-12;IT-515;pipeta_estrella
529;yellow;2007-07-23;IT-515;pipeta_check
530;yellow;2007-07-12;IT-532;pipeta_retirado
531;yellow;2007-07-12;IT-532;pipeta_estrella
532;yellow;2007-07-12;IT-532;pipeta_estrella
533;yellow;2007-07-12;IT-532;pipeta_estrella
534;yellow;2007-07-16;IT-532;pipeta_estrella
535;yellow;2007-07-12;IT-532;pipeta_estrella
536;yellow;2007-07-13;IT-515;pipeta_estrella
537;yellow;2007-07-13;IT-515;pipeta_estrella
538;yellow;2007-07-13;IT-515;pipeta_estrella
539;yellow;2007-07-13;IT-515;pipeta_estrella
540;yellow;2007-07-13;IT-532;pipeta_estrella
541;yellow;2007-07-13;IT-532;pipeta_estrella
542;yellow;2007-07-13;IT-532;pipeta_estrella
543;yellow;2007-07-13;IT-532;pipeta_estrella
544;yellow;2007-07-13;IT-532;pipeta_estrella
545;yellow;2007-07-13;IT-532;pipeta_estrella
546;yellow;2007-07-16;IT-515;pipeta_estrella
547;yellow;2007-07-17;IT-515;pipeta_estrella
548;yellow;2007-07-18;IT-515;pipeta_estrella
549;yellow;2007-07-16;IT-515;pipeta_estrella
550;yellow;2007-07-16;IT-532;pipeta_estrella
551;yellow;2007-07-17;IT-532;pipeta_estrella
552;yellow;2007-07-17;IT-532;pipeta_estrella
553;yellow;2007-07-17;IT-532;pipeta_estrella
554;yellow;2007-07-16;IT-532;pipeta_estrella
555;yellow;2007-08-07;IT-515;pipeta_estrella
556;yellow;2007-07-19;IT-532;pipeta_estrella
557;yellow;2007-07-19;IT-532;pipeta_estrella
558;yellow;2007-07-19;IT-532;pipeta_estrella
559;yellow;2007-07-19;IT-532;pipeta_estrella
560;yellow;2007-07-19;IT-532;pipeta_estrella
561;yellow;2007-07-19;IT-532;pipeta_estrella
562;yellow;2007-07-19;IT-532;pipeta_estrella
563;yellow;2007-07-19;IT-532;pipeta_estrella
564;yellow;2007-07-19;IT-532;pipeta_estrella
565;yellow;2007-07-19;IT-532;pipeta_estrella
566;yellow;2007-08-07;IT-515;pipeta_check
567;yellow;2007-08-16;IT-515;pipeta_estrella
568;yellow;2007-07-23;IT-532;pipeta_check
569;yellow;2007-07-25;IT-532;pipeta_estrella
570;yellow;2007-07-25;IT-532;pipeta_estrella
571;yellow;2007-07-30;IT-532;pipeta_estrella
572;yellow;2007-07-30;IT-532;pipeta_estrella
573;yellow;2007-07-30;IT-532;pipeta_estrella
574;yellow;2007-07-30;IT-532;pipeta_estrella
575;yellow;2007-08-03;IT-532;pipeta_estrella
576;yellow;2007-07-30;IT-532;pipeta_estrella
577;yellow;2007-07-27;IT-532;pipeta_estrella
578;yellow;2007-07-27;IT-532;pipeta_estrella
579;yellow;2007-08-07;IT-515;pipeta_estrella
580;yellow;2007-08-16;IT-515;pipeta_estrella
581;yellow;2007-08-16;IT-515;pipeta_estrella
582;yellow;2007-08-16;IT-515;pipeta_estrella
583;yellow;2007-08-07;IT-515;pipeta_check
